AlF,-0.036152784,-0.036152784,0.674008248,0.213940008,0.213940008,0.068469341,-0.211815811,-0.211815811,0.08603925,2.683092104,2.683092104,0.100100615,0.932317204,0.932317204,-0.187479381,0.729451921,0.729451921,0.00410069,1.052959444,1.052959444,-0.014084231,0.563195601,0.563195601,-8.58E-02,0.742715312,0.742715312,-0.068982555,0.963830389,0.963830389,-0.047034342,0.644461613,0.644461613,0.199563988,-0.545032204,-0.545032204,-0.08784127,0.246041214,0.246041214,0.08615096,0.441648381,0.441648381,0.062328503,2.338939275,2.338939275,0.534416303,-0.037425731,-0.037425731,0.455410763,0.461916463,0.461916463,0.035538256,0.661528621,0.661528621,0.04982825,0.447032489,0.447032489,0.047366765,-0.097272509,-0.097272509,-0.015859158,0.2901416,0.2901416,0.064154322,0.27967348,0.27967348,0.225356068,1.179117405,1.179117405,0.028961044,0.067537912,0.067537912,0.109762659,0.34944032,0.34944032,0.114314381,0.089112385,0.089112385,0.128599968,0.381453402,0.381453402,0.228181522,0.665320897,0.665320897,0.019878566
Ar,0.223066986,0.223066986,0.223066986,0.079128483,0.079128483,0.079128483,-0.055379464,-0.055379464,-0.055379464,1.684749181,1.684749181,1.684749181,0.729167299,0.729167299,0.729167299,0.081742802,0.081742802,0.081742802,0.8990088,0.8990088,0.8990088,0.312740941,0.312740941,3.13E-01,0.456737977,0.456737977,0.456737977,0.588126479,0.588126479,0.588126479,0.147919375,0.147919375,0.147919375,-0.331345526,-0.331345526,-0.331345526,-0.267051653,-0.267051653,-0.267051653,0.024985177,0.024985177,0.024985177,0.502550864,0.502550864,0.502550864,-0.149789738,-0.149789738,-0.149789738,0.129016245,0.129016245,0.129016245,0.323890946,0.323890946,0.323890946,0.566739402,0.566739402,0.566739402,0.301160777,0.301160777,0.301160777,0.238518937,0.238518937,0.238518937,0.406191117,0.406191117,0.406191117,-0.170903956,-0.170903956,-0.170903956,0.039177602,0.039177602,0.039177602,0.628321878,0.628321878,0.628321878,0.067556413,0.067556413,0.067556413,0.38005098,0.38005098,0.38005098,0.68003914,0.68003914,0.68003914
BeH,-0.456064189,-0.456064189,1.274367185,-0.38514911,-0.38514911,0.476256078,-0.090198874,-0.090198874,0.077043888,4.625897311,4.625897311,1.408608745,2.750903711,2.750903711,-0.174463829,1.8426085,1.8426085,-0.21867315,1.62E+00,1.622046338,-0.233653787,0.973875469,0.973875469,-4.76E-01,1.317060411,1.317060411,-0.405321369,1.672418093,1.672418093,-0.34075987,3.385749551,3.385749551,1.035049515,-0.977843761,-0.977843761,-0.624969006,0.412292379,0.412292379,-0.123961289,0.138967156,0.138967156,-0.384833353,2.901750692,2.901750692,1.514350915,0.455775511,0.455775511,0.923991634,0.768599045,0.768599045,-0.370050044,0.714784833,0.714784833,-0.569230815,0.911963308,0.911963308,-0.203353833,1.327464328,1.327464328,-0.593124364,0.837319855,0.837319855,-0.241755883,1.358669672,1.358669672,0.496078544,3.945031322,3.945031322,0.075266736,0.490998041,0.490998041,-0.329336354,0.894800204,0.894800204,-0.024038236,0.9179324,0.9179324,0.508428285,0.731231115,0.731231115,0.47410301,3.168486497,3.168486497,0.299998595
BeH2,0.02665568,0.02665568,0.710244652,-0.17231618,-0.17231618,0.174816932,-0.065115487,-0.065115487,0.044869912,5.074047546,5.074047546,0.340256539,2.771122821,2.771122821,-0.259429889,1.116793376,1.116793376,0.236998543,1.572693558,1.572693558,0.22553816,0.986266009,0.986266009,-0.165420612,1.287055496,1.287055496,-0.102506539,1.613219071,1.613219071,-1.11E-01,1.177849468,1.177849468,1.389712944,-0.778444033,-0.778444033,-0.085956789,0.347798682,0.347798682,0.37199352,0.244414712,0.244414712,-0.177101548,1.90766932,1.90766932,1.651668253,-0.201509524,-0.201509524,1.247652101,0.661858072,0.661858072,0.08999788,0.267229163,0.267229163,-0.158796212,0.94699936,0.94699936,0.17898859,0.761787142,0.761787142,-0.163851636,0.830619966,0.830619966,-0.088743923,1.079840306,1.079840306,0.560820498,1.542664231,1.542664231,0.80732064,0.390337606,0.390337606,0.102169247,1.214766755,1.214766755,0.230053013,0.860105367,0.860105367,0.19531814,0.916028345,0.916028345,0.203655608,1.739195216,1.739195216,0.448086711
BF,-0.45509913,-0.45509913,0.972887632,0.413280309,0.413280309,0.373945311,-0.24140741,-0.24140741,0.094973584,3.430509633,3.430509633,0.776329937,1.714306192,1.714306192,0.300201351,0.857996784,0.857996784,0.351472394,1.526931657,1.526931657,0.437632559,0.849028797,0.849028797,0.254507708,1.079583193,1.079583193,0.286931508,1.315721091,1.315721091,3.16E-01,0.68557731,0.68557731,0.53014895,-0.412070051,-0.412070051,0.237675337,0.240172746,0.240172746,0.29572761,0.358350035,0.358350035,0.376402465,1.419503911,1.419503911,0.90165037,-0.28118472,-0.28118472,0.794636469,0.53559225,0.53559225,0.34689609,0.626934696,0.626934696,0.366314282,0.818814971,0.818814971,0.436520837,0.387754073,0.387754073,0.240404676,0.499126759,0.499126759,0.355626647,0.371156078,0.371156078,0.503552665,0.766391384,0.766391384,0.330802237,0.127085765,0.127085765,0.379579919,0.849972833,0.849972833,0.517301394,0.339849532,0.339849532,0.443810945,0.653895624,0.653895624,0.538082792,1.153023727,1.153023727,0.409426714
BH2,-0.460258175,0.43816766,0.457121825,-0.167298642,0.130128054,0.069850967,-0.116531126,-0.028700638,0.00564619,3.901983683,3.228887689,1.124270283,2.172952216,1.336553428,0.290545928,0.528818247,0.383454836,0.275294939,1.296626519,0.927255457,0.621361012,0.60593761,0.397233614,0.138449249,0.901140171,0.573399233,0.242717262,1.204410204,0.819727592,0.290028983,0.870539075,1.083857577,0.908457471,-1.567828022,-0.816362199,0.017745756,-0.248673832,0.012310223,0.278914028,-0.267547041,0.106397916,-0.02373111,1.456319055,1.755919906,1.457476908,-1.026948021,-0.014870246,0.799734882,0.014424277,0.035429534,0.141814427,0.070873688,0.202335075,0.142590991,0.700197486,0.495554335,0.400078107,0.963806132,0.406615585,0.263144186,0.475623834,0.339872965,0.088993962,1.204410204,0.507090636,0.502785073,1.692796149,0.89800955,0.763982466,-0.130985574,-0.117522348,0.077079613,0.921287045,0.543130931,0.401369047,0.315120738,0.358234355,0.125246301,0.777185701,0.716303164,0.285634846,1.994450543,1.280515126,0.683171283
BH2F,-0.798666422,0.053214623,0.134723805,0.170657774,0.130853553,0.046495281,-0.214790823,-0.071796174,-2.74E-03,2.998309265,1.305226679,0.462869846,1.63E+00,0.425177662,0.143311324,0.424410227,0.381313448,0.133109605,1.16636233,0.726598474,0.272540045,0.627802574,0.277325541,0.090486007,0.828044368,0.367681828,0.1271515,1.067081818,0.452849104,0.1552801,0.255060729,0.759067417,0.242735133,-0.743440996,0.104057072,0.012906826,-0.086342946,0.293527467,0.07204743,0.159934424,0.133311817,0.008236264,0.686819269,1.210637852,0.387869998,-0.388689167,0.836271767,2.55E-01,0.190733984,0.181552799,0.053667082,0.380379317,0.271142537,0.077640619,0.558677016,0.378544675,0.169181898,0.234388777,0.109396167,0.083172949,0.3221004,0.088465286,0.054531219,0.517911871,0.356391741,0.209409876,0.471171926,0.424964775,0.150552623,-0.137976962,-0.011123144,0.01609652,0.771395288,0.388128564,0.181706309,0.085424684,0.052573587,0.044910705,3.966637486,2.200500273,0.839577937,4.068010667,2.304867879,0.853899346
BH3,0.462692314,0.463058295,-0.100376733,0.07227358,0.072456883,-0.032793046,-0.000641284,-0.00099556,-9.63E-02,1.232410089,1.232544001,3.634341956,3.50E-01,0.349868218,1.945632872,0.336693493,0.336799608,0.342514983,0.572683965,0.572797426,0.941367825,0.113245746,0.113344888,0.370480345,0.216950509,0.217052889,0.639249609,0.290300439,0.290661489,0.923294045,0.708345096,0.708462773,0.241075143,-0.074929133,-0.074835874,-1.231920076,0.266967645,0.266302254,-0.235315503,0.003005877,0.00181596,-0.282446488,1.282433479,1.282568936,0.89200485,0.733617643,0.733736104,-7.21E-01,0.135587281,0.137227764,0.050510576,0.140979319,0.141336092,-0.125663865,0.367695675,0.367802755,0.533921852,0.205917729,0.206019765,0.593923365,0.097834885,0.098190421,0.401233247,0.421990472,0.421843197,0.929550719,0.52998057,0.530092703,0.777890903,0.078054137,0.079436792,-0.004905278,0.419686101,0.419794801,0.905912357,0.115043525,0.115399555,0.19416825,1.804305933,1.804458481,3.857574444,0.592878656,0.592992745,1.305629243
BO,-0.43881839,-0.43881839,-0.287228585,0.064542101,0.064542101,0.037373036,-1.45E-01,-1.45E-01,-0.121447889,2.098133192,2.098133192,0.838066225,0.918979718,0.918979718,0.283071165,0.265902543,0.265902543,0.197246483,0.88893075,0.88893075,0.32331427,0.2779019,0.2779019,0.110515802,0.457241165,0.457241165,0.169969773,0.653954034,0.653954034,0.240394737,0.445742378,0.445742378,0.055655826,-0.893770997,-0.893770997,-0.118800344,-0.318041504,-0.318041504,-0.138947735,-0.077888984,-0.077888984,0.021349574,0.911349082,0.911349082,0.177225485,-0.529255371,-0.529255371,-3.17E-02,-0.002297823,-0.002297823,-0.127771987,0.252461559,0.252461559,0.140199459,0.37672199,0.37672199,0.052025276,0.23133637,0.23133637,-0.221632471,0.078045394,0.078045394,-0.072655699,0.466343439,0.466343439,-0.084333324,0.480234793,0.480234793,-0.211370045,-0.232619872,-0.232619872,-0.305542552,0.456282983,0.456282983,0.032184481,-0.036475281,-0.036475281,-0.132718218,0.413155329,0.413155329,0.056551916,0.959031096,0.959031096,0.026515732
BS,0.908360177,0.908360177,-0.273348037,0.377206518,0.377206518,-2.399554589,0.058163693,0.058163693,-0.132786712,1.549539069,1.549539069,0.692960071,0.365394074,0.365394074,0.276084623,-0.07697212,-0.07697212,0.189634287,0.459263224,0.459263224,0.326645867,-0.162953135,-0.162953135,0.090772669,0.005007907,0.005007907,0.148001693,0.154389656,0.154389656,0.212575446,0.227299066,0.227299066,0.070122243,-0.897596123,-0.897596123,-0.124716955,-0.520252653,-0.520252653,-0.157684349,-0.316750165,-0.316750165,-0.027629139,1.114684094,1.114684094,0.142104831,-0.44185232,-0.44185232,-0.067187469,-0.067015686,-0.067015686,-0.096340437,-0.105536869,-0.105536869,0.114614274,0.359915664,0.359915664,0.07031191,0.387304727,0.387304727,-0.1331239,0.097645621,0.097645621,-0.076876399,0.667808041,0.667808041,-0.023368228,0.359393895,0.359393895,-0.186716294,0.080119073,0.080119073,-0.251244259,0.472554261,0.472554261,-0.039184788,0.092152556,0.092152556,-0.190046347,0.371133041,0.371133041,-0.10773531,0.869173219,0.869173219,-0.005468127
C2H,0.676749556,0.676749556,-0.809781064,1.750269015,1.750269015,-0.698981476,-0.016182544,-0.016182544,-0.066802318,2.102483032,2.102483032,-0.217161695,0.709403241,0.709403241,-0.641841325,0.202465977,0.202465977,-0.713388847,0.748262876,0.748262876,-0.475354658,0.093418733,0.093418733,-0.75274018,0.279001729,0.279001729,-0.68836591,0.45411128,0.45411128,-0.647923893,0.535127699,0.535127699,-0.815579315,-0.82312818,-0.82312818,-0.952360459,-0.20266299,-0.20266299,-0.949061048,0.00813061,0.00813061,-0.898561494,1.628690617,1.628690617,-0.653616375,-0.254057497,-0.254057497,-0.97107733,0.165739306,0.165739306,-0.945870074,0.207153519,0.207153519,-0.771870064,0.646807705,0.646807705,-0.719901701,0.686080261,0.686080261,-0.871134509,0.38862721,0.38862721,-0.918815329,0.825160767,0.825160767,-0.848438394,0.553035977,0.553035977,-0.726361428,0.295004372,0.295004372,-1.055028558,0.797204685,0.797204685,-0.771725863,0.325831536,0.325831536,-0.996932809,0.70823722,0.70823722,-0.858289512,1.137199107,1.137199107,-0.71768527
C2H2,1.537072488,1.537072488,-0.318777451,0.097145873,0.097145873,0.043944358,0.004588438,0.004588438,-0.082171896,2.170716155,2.170716155,0.460989427,0.687837563,0.687837563,0.11056174,0.187688702,0.187688702,0.169036217,0.701715415,0.701715415,0.38010348,0.01612708,0.01612708,0.100843236,0.218516587,0.218516587,0.156940851,0.401820047,0.401820047,0.184611432,0.403651391,0.403651391,0.08076145,-0.898441796,-0.898441796,-0.017596627,-0.192936344,-0.192936344,0.00039398,0.00656682,0.00656682,0.000852882,1.494326593,1.494326593,0.257782531,-0.363677007,-0.363677007,0.015720158,0.150609275,0.150609275,-0.102085628,0.146202886,0.146202886,0.09598363,0.62024699,0.62024699,0.13677866,0.560290874,0.560290874,-0.063138344,0.36701815,0.36701815,-0.079119591,0.677610552,0.677610552,-0.056709828,0.42782201,0.42782201,0.141452984,0.345764742,0.345764742,-0.227113467,0.790415451,0.790415451,0.058749385,0.270608839,0.270608839,-0.159799614,0.631576144,0.631576144,-0.044037678,1.048406221,1.048406221,0.066729319
CH2BH,1.524120638,0.289695707,0.031923735,0.341379066,0.16512958,-0.015364052,0.025681438,-0.057639358,-0.03459035,2.529058067,1.555241102,0.378597817,0.692846441,0.471212703,0.030253421,0.295770555,0.176899304,0.152830733,0.654408833,0.574144382,0.30582972,-0.047428519,-0.007170992,0.034210598,0.168213127,0.160775162,0.086786223,0.37136361,0.28415956,0.10670948,0.4364206,0.133307758,0.285524062,-0.962188805,-0.685098847,0.04650291,-0.330292655,-0.219398077,0.074689119,-0.059198541,-0.194614997,0.030204888,1.66124422,0.844778619,0.450300907,-0.59371741,-0.380385052,0.259139265,0.152450214,-0.132684204,-0.023992912,0.123081308,0.018064141,0.078593369,0.528538263,0.315107733,0.153276865,0.360568088,0.272582992,0.012854288,0.29330125,0.015540914,-0.042950946,0.452766827,0.391257028,0.093559578,0.411142796,0.478245538,0.147008833,0.296696529,-0.138496481,-0.091659389,0.642105698,0.404627547,0.093903873,0.269839817,-0.036451728,-0.068486719,0.489729743,0.250936258,-0.001496485,0.897701987,0.63911282,0.133853647
CH2-t,-0.486344733,0.090836267,-0.304305993,0.150738824,-0.075906729,0.056223233,-0.125612132,-0.043612254,-0.100417956,3.215774397,1.383853801,2.751141627,1.696729411,0.51137321,1.400475779,0.019535038,0.31838985,0.053551694,1.409598559,0.833152283,1.168425618,0.653107633,0.345108001,0.51002183,0.878974922,0.460268723,0.71776848,1.164031286,0.523904305,0.945480998,0.819112484,0.565021029,0.681157416,-1.226794876,-0.204852919,-0.901437299,-0.421453548,0.171473845,-0.205721167,0.022552938,0.132775912,0.068546765,1.473872255,1.103447498,1.196858367,-0.852225109,0.17663244,-0.607269385,-0.029367631,0.133098456,0.001361992,0.417113625,0.311306737,0.295194469,0.745432903,0.466376916,0.611741578,0.530676074,0.280714824,0.395320362,0.397272088,0.139226606,0.299908008,0.804740209,0.34156745,0.636092054,0.86939932,0.587820715,0.813152196,-0.270608543,-0.023134747,-0.213006045,0.797553303,0.436153807,0.691074329,0.122092597,0.041131168,0.078905344,5.031700585,2.183167826,4.29239603,1.389355815,0.592315818,1.171268791
CH3,0.060850576,0.060847059,-0.282464359,0.015901088,0.015685797,0.329116528,-0.055824738,-0.055669352,-0.134490231,1.452337276,1.452381863,3.369782875,0.551402071,0.551415588,1.579050194,0.276502351,0.276506332,-0.124680731,0.754854701,0.754875259,1.09E+00,0.231679876,0.231362056,0.34004872,0.362889167,0.362896147,0.575166439,0.455592259,0.455602456,0.852326156,0.359051332,0.358738342,0.373513965,-0.299069045,-0.299085114,-1.450428471,0.057001156,0.056997505,-0.776739197,0.013043108,0.013037926,-0.383002243,0.958851111,0.958878714,1.481984149,0.112482649,0.112480928,-1.046777299,0.041922832,0.043843744,-0.318911434,0.24416815,0.244171008,0.044411484,0.417882017,0.417890906,0.516027763,0.304986225,0.304991196,0.592135007,0.097733346,0.097731112,0.177501248,0.382715644,0.38240355,0.555457412,0.444728048,0.444737868,0.700447441,-0.085210404,-0.083612725,-0.452111804,0.439615072,0.439624714,0.583377394,-0.010387686,-0.010393684,-0.04367906,0.280983497,0.280987634,0.506715728,2.275381089,2.275453823,4.517597306
CH4,0.135488514,0.135488514,0.135488514,0.082223693,0.082223693,0.082223693,-0.05829596,-0.05829596,-0.05829596,1.50656402,1.50656402,1.50656402,0.572121709,0.572121709,0.572121709,0.224470599,0.224470599,0.224470599,0.666018634,0.666018634,0.666018634,0.156801282,0.156801282,0.156801282,0.289277516,0.289277516,0.289277516,0.397196081,0.397196081,0.397196081,0.258914273,0.258914273,0.258914273,-0.406691601,-0.406691601,-0.406691601,0.019128579,0.019128579,0.019128579,-0.001271871,-0.001271871,-0.001271871,0.767615611,0.767615611,0.767615611,-0.016653424,-0.016653424,-0.016653424,0.034818402,0.034818402,0.034818402,0.164008985,0.164008985,0.164008985,0.374370817,0.374370817,0.374370817,0.252339576,0.252339576,0.252339576,0.085322922,0.085322922,0.085322922,0.327766146,0.327766146,0.327766146,0.314625347,0.314625347,0.314625347,-0.063754527,-0.063754527,-0.063754527,0.435955875,0.435955875,0.435955875,-0.030467448,-0.030467448,-0.030467448,0.247956206,0.247956206,0.247956206,0.53528769,0.53528769,0.53528769
ClF,-0.035518444,-0.035518444,0.098445608,0.248245461,0.248245461,0.012649905,-0.111961013,-0.111820111,0.008931622,1.746511799,1.746511799,0.24935909,0.700060226,0.700060226,0.072494983,0.081893214,0.081893214,-0.013207307,0.830889662,0.830889662,0.149774654,0.285597759,0.285597759,0.008564667,0.423273181,0.423273181,0.039504751,0.580222231,0.580222231,0.059125302,0.217263558,0.217263558,-0.047544054,-0.25199779,-0.25199779,-0.15579825,-0.195742975,-0.195742975,-0.085799471,0.106336643,0.106336643,-0.070703783,0.664323966,0.664323966,0.027077631,-0.091683043,-0.091683043,-0.104537099,0.110937092,0.110937092,-0.036443481,0.300808702,0.300808702,0.005398731,0.435883985,0.435883985,0.102468504,0.111799652,0.111799652,0.079455931,0.153768623,0.153768623,0.014606999,0.210944598,0.210944598,0.109500814,-0.322433149,-0.322433149,0.05774235,-0.066621091,-0.066621091,-0.031338971,0.477144641,0.477144641,0.131835742,-0.055388463,-0.055388463,-0.016253399,0.312000186,0.312000186,0.073002299,0.577360391,0.577360391,0.115894191
