,HF,MP2,CCSD,Slater,SPW92,B97-D3,BLYP,BPBE,mPW91,PBE,B97M-V,M06-L,mBEEF,MGGA_MS2,MN15-L,revM06-L,SCAN,TPSS,B3LYP,M06-2X,PBE0,M08-HX,MN15,SCAN0,CAM-B3LYP,wB97X-D,wB97X-V,wB97M-V
AlF,0.681486706203139,0.14489802973800806,0.15312637958934444,1.5998239317456686,0.5862520040974017,0.43409328739357744,0.6267441391712092,0.3461641761124385,0.4474304697959674,0.5755109323309477,0.4332954830111818,0.33626053317182497,0.1703416859342911,0.270253768998103,1.4929393690965616,0.46077283568770266,0.27720806521851654,0.39686224310313695,0.270287321340606,0.060061592496702926,0.18442567572608576,0.2820710375363979,0.7022652631708785,0.11798140682106087,0.23787690733646258,0.14036417287160566,0.3235743546332538,0.3964205393153589
Ar,0.1545528,0.054824500000000005,0.0383699,1.1672847,0.5052063,0.0566358,0.6228816,0.2166837,0.3164526,0.4074856,0.10248650000000001,0.22957399999999997,0.18502770000000002,0.0173111,0.3481942,0.1037824,0.0893894,0.224409,0.3926675,0.20866040000000002,0.1652587,0.281431,0.11841140000000001,0.0271443,0.43533510000000003,0.04680669999999999,0.26331970000000005,0.47116759999999996
BeH,1.2521332815925108,0.5454347038942242,0.10288621867291069,3.9792571817827844,2.237909846416288,1.5090019951707088,1.334176858305708,0.9076110341141241,1.1342906563619677,1.394085538430422,2.913738199762219,0.986695579601059,0.3541680608591774,0.37841890167115066,2.7501481311725957,0.9428647387055189,0.713809253247773,0.7885548320909609,0.7641349195268093,1.2124120343422198,0.7162481174950921,1.1966558777270153,3.20152944577596,0.5042431256237511,0.726335071905357,0.8845455560064199,0.7416358981898035,2.586087728119088
BeH2,0.7739285675173259,0.2288008637646356,0.06845457274869712,3.753022708381289,2.0591274253166243,0.8615867237785642,1.1833419756341739,0.7479564705828542,0.9538758029113852,1.1934731792713051,1.7444990530573317,0.5805623261144491,0.4793051891247336,0.26378217625841716,2.282235520312996,1.367154664824463,0.4969171781410225,0.2619325964965351,0.7237805364265654,0.5884248454045257,0.61896082979369,1.0024559819353815,1.43619192510139,0.3081053575924638,0.928565597410147,0.6678640743768226,0.7097884222416141,1.3700093861366862
BF,0.8515667583234428,0.3990870524470653,0.16687742125543326,2.1883706602617523,1.0745081389579327,0.5986185332834425,0.9990803788050189,0.5589409136403686,0.6998474685793898,0.8439969089142151,0.606006848654298,0.31910198399138795,0.28519674115483856,0.38048803919544344,1.1428078689745578,0.6795593353444545,0.4348295072976074,0.4879016007406514,0.6162826933187182,0.3090102984613565,0.4233741635137175,0.4741964259695483,0.5416201190414182,0.3235258660484661,0.6722365707594538,0.42169720627594465,0.5977183340453149,0.780493853961708
BH2,0.5176371823766914,0.1287111152924771,0.059480263181225644,2.922294220382612,1.367377298887675,0.41866695238732815,0.9983976197667908,0.4017692058332827,0.6002902070136132,0.8139664545328389,1.0970017425673488,0.9165150562039774,0.26023188685660714,0.14717891071565473,1.7778954781944374,0.8275100817739403,0.11948170585632208,0.1765063580640841,0.5666332048126401,0.5750161808455916,0.3224697157626537,0.7840322218608196,1.178628235210337,0.11626940413351801,0.6522874608794423,0.29067343943691637,0.6319468305711513,1.377778525716648
BH2F,0.35231510404783956,0.11395406780975395,0.09814610300293197,1.5217820817040415,0.7285234099491611,0.31370695932064263,0.6962746124447212,0.3182509918086562,0.4223510483568102,0.5355436534241598,0.5206102865271616,0.3114797351691759,0.19232877809119814,0.10391738134106022,0.8610639139311185,0.5792320574391379,0.14342105037157785,0.2371095883152837,0.3596612343514658,0.14002196083606552,0.1512476511084277,0.35966201291821653,0.3500265709673767,0.05892719109672545,0.4282895778813053,0.06314357073822587,2.2393758078773067,2.3115501613089666
BH3,0.5102522252872461,0.08091124660400019,0.04523988159136214,2.178528976119649,0.9915222112211792,0.40313915825543006,0.7686643863698404,0.21392801405570205,0.3833343066747092,0.5383789721837273,0.7857753820286814,0.5846255913314863,0.31285581083038344,0.13273575879852223,1.468782365240983,0.8736713262190136,0.15159750083417164,0.16580838749827062,0.47525717060281863,0.35914260760083405,0.2170568691177038,0.6365706598731571,0.6870666496866928,0.08646780249018243,0.6272456620983654,0.1559420592001401,2.6847141542339563,0.8943700552299851
BO,0.3550181572227257,0.04992537985223548,0.1313354388113505,1.4721956813166448,0.6187490780991705,0.22687916067066038,0.6132305246823987,0.19482804381754182,0.3166051906756268,0.4519440981770238,0.2838454582838638,0.5700255817058828,0.2274014047630093,0.05174906126610736,0.5898560928244617,0.33400618923982534,0.09924579001697788,0.1926204166090483,0.2405140978296906,0.22544989306056454,0.07481230174363038,0.30071997135037437,0.3439480435504612,0.27883011716151945,0.2882545485539474,0.1056021377567077,0.2637090278895661,0.6039321894774473
BS,0.6545210909705127,2.1017207136569285,0.12188245579774803,1.2021987538398133,0.3432274287425322,0.17279483522808198,0.41920884114513857,0.1349002106254595,0.12873107339571102,0.21191345877776774,0.16433060035650693,0.6122954116049322,0.3752264148248761,0.21400812635769229,0.758493464439802,0.3023426154937529,0.09508591670499895,0.12227745887208047,0.24924943404978878,0.28462339861049724,0.09362529792337111,0.44880424639673744,0.2908192713289074,0.22498102188515814,0.3190814267821669,0.1764470237109333,0.2661935295877043,0.583553308929209
C2H,0.8679686328062669,1.3737148681410007,0.061127020779602866,1.4802016917046001,0.7604332401870616,0.6569196213596176,0.6748515167062752,0.6800647518391834,0.6489400566624574,0.6632794262582927,0.8230456545903331,1.031253495170436,0.865121449593366,0.8080883645357533,1.2796073244484378,0.8910978153368387,0.8584405437782069,0.7090304259977588,0.7892273924990039,0.9181319890078551,0.8696542796964225,0.9559123947735152,0.758709175461237,0.9708573557763209,0.8894749236065831,0.924919833957504,0.9165408052621953,1.0229279572743215
C2H2,1.1114228374519468,0.08003154520564583,0.08075676684847571,1.572616322243442,0.4894188231538369,0.21097793283420266,0.6134766939917902,0.0996596440775971,0.2161880200881168,0.3325462285648618,0.29106788795909794,0.6235812946772831,0.13386043788144258,0.0046324268748356955,1.067226354090267,0.25279210931946955,0.14480610909219263,0.13846920654069625,0.4508046917976305,0.39364533060477164,0.2662281731356018,0.47341529251876024,0.3277199002600086,0.32755198495047566,0.5514192104892066,0.2446945557622128,0.44031836427948357,0.7303333957011278
CH2BH,0.8335539392264266,0.20776902598197838,0.05290087639138567,1.6882213339844652,0.46500045527881295,0.2533572473149788,0.5924439469538418,0.04554526651963736,0.16201892964754663,0.28547974365273276,0.398906261971076,0.6572064625863905,0.23411226296112728,0.12404457543928847,1.1332088523835915,0.4823021099751137,0.11625120721903635,0.10910630643832342,0.3782345059257373,0.25185143626666096,0.16403552632354776,0.35052646337734134,0.3932441883361702,0.20503650862031053,0.4312170659161347,0.16415721254140292,0.30109452454019503,0.6287248211262831
CH2-t,0.3006948186961934,0.09732847878575931,0.08813074255184737,2.3829117596486875,1.1874098661956438,0.2225128735505132,1.1057446785036409,0.4888318985507049,0.6657438626699411,0.8532784159496691,0.6740821592897115,0.7952580242240104,0.26730644046737195,0.09946352242993409,1.2409578450727956,0.5513131443145809,0.0933682102993035,0.3396604033176864,0.5924848790213214,0.39184451471972487,0.27353876352640893,0.5785526674590367,0.7373439026004578,0.17796968341181035,0.6223805108239975,0.07980469740197002,3.729575045684191,1.0224209283617471
CH3,0.1520806846592843,0.1652303786951318,0.0847894271585988,2.156207122452963,0.9404073251348994,0.26358357694353796,0.8867239146576514,0.2736795498409895,0.44238286279876016,0.5997795468528165,0.38129734688452793,0.7764144174103865,0.3919959090285042,0.1919086862543399,1.1567099141054784,0.5337295427088674,0.1643524802671279,0.22724206821784415,0.46518893218460533,0.4092421259181864,0.12677938209480277,0.4502303332475686,0.5407116998139457,0.2392257095540667,0.5009041808802625,0.023868841726052258,0.36323606219392646,3.089548108359746
CH4,0.1474479,0.08948149999999999,0.06344169999999999,1.6395466,0.6226221999999999,0.2442844,0.7248073,0.1706419,0.3148117,0.4322561,0.2817683,0.44258980000000003,0.020817000000000002,0.00138414,0.8353721,0.0181234,0.0378918,0.1784859,0.40741609999999995,0.2746133,0.0928543,0.3566977,0.342397,0.0693821,0.4744372,0.0331568,0.269843,0.5825369
ClF,0.09394616597981349,0.14333892207457122,0.06492312828738307,1.031525738228525,0.4084723587947904,0.04870499049758659,0.4980747702873837,0.164541847971238,0.24633791120276227,0.33840238758355407,0.13263627752765583,0.205152383303948,0.13811117261003905,0.08989693828438577,0.38311892873347647,0.11074477315750242,0.07230275768966216,0.1731746267279049,0.26837589638222603,0.09806252648176401,0.08952661760716754,0.15854915815263732,0.193183190939274,0.048185318668310856,0.30078285932303944,0.03528609823273182,0.19198650054046332,0.3493408853029516
CN,0.17928977450204311,1.3335962608824432,0.09349810107296297,1.3249888641510428,0.5188737142988873,0.15542660785695608,0.5626708447388431,0.16824553804725403,0.2524101377917099,0.3531342758379735,0.15743359825628073,0.5453991716910072,0.21131335925874,0.09548241821098095,0.7187429657536042,0.32457708633709803,0.027141896991674453,0.15329560106069579,0.36242796505422514,0.4016682614054912,0.16874886091573083,0.48637705224435357,0.24567902928741558,0.18792573807049423,0.4442091275586347,0.11650074064455557,0.3867013183668933,0.6416583350742018
CO,0.5025079695660258,0.3399182564422658,0.15947430583030192,1.5792723230593546,0.8014825819306183,0.5150625556683415,0.8349316083234942,0.5285624833156468,0.5945013030470497,0.6770300864694937,0.5536129156792136,0.6397065461191092,0.4744509532459704,0.5213721907262571,0.8134637768127949,0.690024333879335,0.47898521645758196,0.5477642593599062,0.6245405676916406,0.42284203734577214,0.4803024646067969,0.4973153389192951,0.4781390029565879,0.4220794627903692,0.6885982478764086,0.43434322758826727,0.6085219242944662,0.7109116710156332
CO2,0.3934599723015799,0.13162817490050016,0.08045712090803397,0.7920969805114586,0.20122546492497423,0.1533045585875058,0.2511261957482665,0.10173823256588449,0.046675236986757754,0.11175031405001361,0.15891019236392612,0.619506853599003,0.31626841276081197,0.1688604153061437,0.1436275373811141,0.43948057230859855,0.17627688041453424,0.0799435563719595,0.13945671428157674,0.11387964978031268,0.06780132345146368,0.24329505237223106,0.18756154299218697,0.2049530915835052,0.24121530461728585,0.1898285295886527,0.15217100009006318,0.27270006405223546
F2,0.5408291189439723,0.22125320283215488,0.10700048540517623,1.0555217460865536,0.5332186852333292,0.09902595020791267,0.558841380771485,0.26564853907341557,0.3449705485038831,0.4417832315846653,0.05874223237268623,0.3275471551336845,0.14878430771243148,0.03792124392030585,0.05307788487490184,0.2492166519851285,0.06021271943080909,0.22405412029300717,0.241750087777447,0.15776116652093655,0.10400148575894992,0.17709002077891353,0.19080254801241514,0.25002031273912523,0.3087995085215918,0.15483041555931443,0.22975535265635633,0.29289826111571005
FCN,0.28689877249441714,0.062132601822473196,0.05844117415524207,1.0363275314341311,0.3800830406074309,0.07258605974195963,0.42036671173120976,0.11804816113908764,0.18644474958426693,0.2822074048431933,0.08869283861451271,0.4609413937098258,0.17783816690450152,0.10055835124673668,0.4256901867798301,0.2505739867523363,0.05895734874870703,0.12741426771026604,0.26081102170571063,0.19594983447857264,0.11170564279096798,0.29902235959223855,0.07837122803497466,0.030818735425360986,0.34902297970456525,0.027402414925940376,0.27951580466243764,0.4351542166546515
H,0.0021834899999999997,0.0,0.0,8.0003385,6.248043900000001,2.6972092000000005,3.7594552000000006,2.9394271,3.3934043999999997,3.8847637000000006,4.8180296,0.9733587,1.9598127,1.7298787999999998,4.3844934,1.5177332,1.7298787999999998,2.090971,2.798504,3.2495008999999997,2.5740738999999997,3.863293,4.4983818,1.242748,3.4473167,2.7551042000000003,3.2603006000000003,6.1640467
H2,0.7249069874293737,0.21149994949247625,0.0,4.421323836583043,2.600960626945107,0.8560350154659097,1.7718354767295532,0.9552468718076285,1.2637844513465775,1.523271716191617,1.1349526216275918,0.32466227802137715,0.5894157736309037,0.3375419191598578,1.5004136923319438,0.4221894793245406,0.6452770612754829,0.28398815570777475,1.27732206745541,0.8402567748389019,0.9267269518531012,1.1046569986940245,1.0973463589028838,0.5002219258207568,1.7422532918628642,0.6299368442852319,1.161399772456853,1.866823081963173
H2CN,0.2203825353695478,0.5074477211228134,0.06552896517510405,1.3220273654316754,0.42503013380797683,0.1460839831665904,0.5379561841602624,0.12056767559578313,0.20229998996263773,0.3009412627020374,0.2131654432363823,0.5499821167158014,0.21988290965119747,0.13872990105078717,0.709489554614661,0.3596731638322168,0.08578495745030126,0.13417586564392522,0.27849476991323074,0.2220784136804836,0.0578028263135982,0.2694568946578407,0.18959478179748687,0.147802879498123,0.3432345343819296,0.09563042537236775,0.23458449005322152,2.2314366616794503
H2O,0.6945567508551767,0.26871544787866836,0.16914093847800418,1.863242699063932,0.8827380100763476,0.3725653953850474,1.0133618782472085,0.49601527028754533,0.6386989280826896,0.7717345820913993,0.1516911898021218,0.4179661348271931,0.20382561429330545,0.22364815297458493,0.34595226366386156,0.35624055564432866,0.08438641796667459,0.4645150249048822,0.44554045758556354,0.09842328304063358,0.1319482922277385,0.14796132597673398,0.16698225432730868,0.25364813459282526,0.46421410930211215,0.08768333116600137,0.28903522319598,0.508160752463611
HBO,0.19386594830248038,0.23872263658503357,0.10307066837018505,1.447420548759894,0.5592760348580744,0.17945935375878294,0.5833132100246059,0.14454917404528236,0.26638054212513346,0.38936154522196975,0.2681892002213549,0.5705083181458619,0.23069352790987294,0.07719002823409252,0.6087986428279906,0.43541968606830733,0.00480537888701942,0.13385673339915827,0.26705305240360017,0.07379760136289436,0.061924919848474584,0.24473203233661503,0.17407418686536114,0.14857410079733502,0.3344915874306507,0.061511025173161704,0.24065316562171657,0.4599382950806082
HCCF,0.4535552459751844,0.08372896113567874,0.05093729326492198,1.275443685027277,0.45433723587781877,0.14011819706482334,0.5219236703014245,0.1310684043821139,0.23627114732230847,0.34687651166369465,0.21594067960548793,0.39983436364248387,0.07829881288774435,0.07655754189122496,0.7349268842633394,0.15729853148134187,0.11973653414864655,0.1707320300360773,0.33906805757756553,0.24078791594821916,0.17987434434244182,0.34503507521406673,0.1483623575035348,0.13099839401236948,0.4019274103858846,0.09420111348264414,0.33571027262265396,0.5428885207975267
HCN,0.7493837835706948,0.07410349388690567,0.06901405693542922,1.3349270216913058,0.4435899398856599,0.11091993371080783,0.5246053829717058,0.07968616913203946,0.18340691712162877,0.29354910673435314,0.10212917987165405,0.6011161662936209,0.20208769945159125,0.07032157408468827,0.6878255236846914,0.2965967258258088,0.062258273092637255,0.08946487484625833,0.3543274483486097,0.3594339837610749,0.19044632805120362,0.42713805806442334,0.20664448058783635,0.21080467251337198,0.4717537514623634,0.16332886590826498,0.3766727507392812,0.6081326541341919
He,0.2256654,0.1269795,0.0,3.4378478999999995,2.4156928,1.0245735,1.6334571000000002,1.1983026,1.3773308,1.5874867000000001,0.098776,0.3055573,0.7485354000000001,0.6669488,0.00132769,0.031076200000000002,0.6756951999999999,0.6173629999999999,1.1346565,0.6844404,0.9317252,0.6786104000000001,0.5764986999999999,0.37471150000000003,1.4724175000000002,0.474223,1.1578079,1.2272119
HF,0.7551098629323947,0.21919991402462577,0.14938282919036133,1.6481680243640218,0.8878749514863228,0.3843074901565672,1.0151169706450287,0.5951183919209521,0.710072274629529,0.8269963292901165,0.15419593572071433,0.3209205231809271,0.13540688729626468,0.31983852341523317,0.19090668078935843,0.22475297088741678,0.14341176582714543,0.5464929897436562,0.4714463184543602,0.08124917573255087,0.20108988965589494,0.19970440972307046,0.13258786593397828,0.20328083283224221,0.5269786937829999,0.06195636547700324,0.4021505410081984,0.5317478657854898
HNC,0.33299836249250037,0.1652029983368038,0.07171572700733082,1.491507754151065,0.5026930110982182,0.18138143566632353,0.5549921149432545,0.17029562757903288,0.2347464306351004,0.3382364134547462,0.13634071309209145,0.6904573510919121,0.2972578002832558,0.2093095156578251,0.5959033777251561,0.46205861996755343,0.07391587508190195,0.17282920417863412,0.2983856131414851,0.19534360071280385,0.06604015080812581,0.2241619690234348,0.12347196381617705,0.09442117548717555,0.3833149452174543,0.04255623590908857,0.2636391260300211,0.5184190613705673
LiBH4,0.308104461455586,0.0817317866630032,0.047215130520981655,1.9680742351167566,0.735228016172983,0.4508788531846849,0.7838300507476753,0.20122682912651915,0.36057135038792254,0.48460028698522944,0.5923142407739831,0.4805096306943077,0.13985532003079706,0.10856680384654112,1.0895855349873487,0.07279109516248078,0.1153741749923555,0.1266383488932427,0.4483348639021135,0.2051849071582833,0.13687993765461032,0.4496689347021836,0.588598088802028,0.024105882694894207,0.49746076107963194,0.12356178636718555,0.28743822683980874,0.7026159353495478
Mg,2.3550003999999998,0.1098702,0.13326020000000002,2.1789277000000005,0.058445800000000006,0.7279151,0.1441387,0.016613700000000002,0.1917382,0.3130713,1.1283718999999999,1.0691929,0.4579638,0.4488932,3.9523992,1.0864671000000001,0.6433603999999999,0.6426642,0.1021178,0.5186147999999999,0.4070166,0.762688,2.1648955,0.6332641999999999,0.035193300000000004,0.4153935,0.4495909,0.2340664
Mg2,1.7412838272453148,0.06325873408871431,0.09648006962882714,1.4192321028364785,0.3373242895352483,0.35816455301093564,0.2861686331232164,0.33617999540565563,0.1959312634253911,0.09017093378020066,0.6653871823453469,1.0973982069200343,0.15374295265819507,0.1505979399812295,2.9647769408101117,0.6093281051512887,0.227455681343729,0.22794718865762162,0.2433326891551907,0.5487125021327744,0.08540244983277705,0.5655324298473077,1.6092009163232963,0.2887142103210543,0.2134390504804904,0.19592982005064977,0.25391966124779836,0.13382703513730562
N,0.3319823,0.090113,0.077904,2.2736443,1.3378988,0.3567223,1.3337878,0.9264025,1.0688536,1.2343722,0.6821786,0.426573,0.13155679999999997,0.49399780000000004,1.0262147,0.22142590000000004,0.32687730000000004,0.8237021000000002,0.7767866,0.45727650000000003,0.5743078,0.8450806,0.767124,0.0486901,0.8574911999999999,0.29077020000000003,0.8437015000000001,1.1513138
N2,0.4655112034256462,0.10741724079688822,0.04903013854164939,1.1813766471465483,0.4308512441401943,0.041059074869590845,0.46742844550254603,0.07369311518816846,0.17257315226296546,0.27893836096385166,0.03388433127868002,0.5688126200244916,0.21236761058213813,0.09338529682196586,0.4137261293018648,0.3380482212020202,0.04497064892352233,0.07713979745209344,0.30250850076129543,0.2922011057923065,0.12857222365644663,0.3285832989990463,0.11707353102465134,0.09075461273962884,0.4234274642605272,0.07399228007828475,0.33330826186319873,0.5140092818080396
Na,1.7498853999999997,0.1119591,0.0967689,1.4568901,1.1112851000000001,3.6932463999999996,1.1297565,0.5417351,0.405741,0.31036420000000003,2.4015266,0.8588481,0.44850309999999993,0.1534068,5.0790535,1.3098485,0.7204498,0.4100375,1.1620907,1.9914524000000002,0.1404664,2.8587886,3.4108085000000004,0.6756415,1.2749687,1.0683755,0.298012,0.6532849000000001
Na2,2.293513916490369,1.6048824184756245,0.37204714514124865,1.8847302321338006,1.7923718746879094,1.0087705126748303,2.1366443991016104,1.0079499310598765,1.0618220478169211,1.321534232254265,1.251649662351999,1.018614951855641,1.2574889308482493,0.48080450051857526,2.727242529836615,0.9670291289298977,0.39990374552011887,0.2104520736713548,1.6090724588503893,2.2444432118900624,0.5874449144708124,0.9434507694536,2.2702868952324198,0.15105768052043345,1.0678503734498386,1.0031744397801228,0.4735859544959989,0.3147138964554473
NaCl,0.07383114276437372,0.12472326569791754,0.11174280992860344,1.6815818009084562,0.7297976609053659,0.4154112022065927,0.9231865925810014,0.41708639031035283,0.558180590463409,0.6677719368794184,0.29035666992430187,0.1847414136671906,0.10269633866373556,0.15675873331337342,0.5600934645315845,0.19056137448608693,0.19056984306592162,0.4090759903850303,0.5114231232062026,0.17604885055075858,0.22109948029042642,0.3636045724532719,0.09193154240156097,0.013464923866710127,0.42879246459101866,0.13057372750464263,0.22425248575948944,0.5351320427195609
Ne,0.5645273000000001,0.12201849999999999,0.09319939999999999,1.3749175,0.8428753,0.3326881,0.9277894,0.5991019,0.6895818,0.7870616,0.1287705,0.2144971,0.07159439999999999,0.33530609999999994,0.12220149999999999,0.0547925,0.17670139999999998,0.5528301999999999,0.4915111,0.12351539999999998,0.2757175,0.301918,0.2245917,0.08313669999999998,0.5769483000000001,0.0663339,0.47715029999999997,0.5293540999999999
NH2,0.4282958571686399,0.1280747760034218,0.12941609888388436,2.030882915282475,0.9331026788935896,0.3444575710426564,0.946532652674622,0.3983055777250636,0.5492184164358687,0.6932423664670291,0.28767505517300246,0.5985179997127488,0.2785391933247755,0.21045333311386794,0.7347423306137737,0.4250299235104669,0.15767303863021945,0.3631793021463733,0.44555555043253586,0.24201248923908175,0.12979329504914086,0.31718507104625837,0.2773595838459045,0.2606610705336082,0.4745699333083271,0.07816645100821706,0.3160389274059395,0.6409354542196247
NH3,0.39005142311751667,0.23399701014800023,0.14501348946860082,1.993514833798917,0.8386007007592647,0.34573488954390086,0.9562543239606797,0.3642482757414463,0.5281404000330469,0.668348663162609,0.16126337527933407,0.4818982077387575,0.20309741443803922,0.07294606359338383,0.5663339211856259,0.3908389647294394,0.03878088279354489,0.35081385513977825,0.438955904670378,0.14181300756797885,0.09391898064271496,0.19769474302508233,0.20075215752292674,0.21463184531394683,0.4389980316761568,0.08731173915375488,0.21741604922704455,0.5145031315702072
NH3O,0.5950759620284063,0.17953866206105393,0.17441660088639308,1.631299700218376,0.7107341349631239,0.3803629658228265,0.9020822750177595,0.44533205841313517,0.5627519300559498,0.6719567890681191,0.23928047418714854,0.19069225994607122,0.05327657936510815,0.1591980955131164,0.500938381417013,0.20393223296310958,0.1141862968288081,0.4086868332090029,0.36978462266369777,0.06700280643440741,0.10198056530061664,0.12059390914847236,0.11420698111426171,0.23295887264890056,0.3071121883352021,0.12545641105969665,2.2840299853795325,0.36381425234568077
O2,0.0973396822893418,0.10210037557315839,0.06113211191307996,0.9942316531893645,0.3844632713300063,0.16663052167221148,0.42736262562297134,0.1604174045508614,0.21088605637490593,0.28713552058043373,0.1481127067412066,0.5718446928512089,0.3045923379428642,0.14633101206623972,0.16626406490243167,0.3993285989174788,0.21170547235296022,0.14518494571738488,0.19835112301413876,0.07156922941919011,0.09234249151223216,0.19009191359597602,0.15440056844688105,0.25750791760955627,0.261810303162105,0.203650521652806,0.17441532205365445,0.3000564693481545
O3,0.7057345608755768,0.19456083692464934,0.15840490413083808,0.8746216454695519,0.3152960360311824,0.17393248500259134,0.35959321894565816,0.14764030219071844,0.17295094679075915,0.23543037112497472,0.16518630965199066,0.5077170123790089,0.32185493000401083,0.2059873623571197,0.15504889438138064,0.40707339601410225,0.21889713612199985,0.13859799293176409,0.12640550715723436,0.05578939185720406,0.13229817698316934,0.05696418321226067,0.1518953377021823,0.38087595828642606,0.17621653731320644,0.23871545388542958,0.25305609362231657,0.3383588521777286
P,0.5346478000000001,0.0322395,0.007004279999999999,1.9113361,0.7597697,0.1889564,0.8263431,0.3567694,0.49837739999999997,0.6355159,0.6711224,0.6720966,0.2328704,0.0454603,1.0164284000000001,0.24080189999999999,0.1186913,0.30769409999999997,0.5325324,0.37645179999999995,0.329509,0.4448492999999999,0.49202840000000003,0.0804127,0.4880979000000001,0.101377,0.4336554000000001,1.0740891000000001
HCl,0.2860682500260442,0.11142045727006329,0.0492957395728069,1.33681078593795,0.5069118909344666,0.11793898651332392,0.6641912923621578,0.188367286658388,0.30422575068802665,0.403590139324282,0.13913989859116616,0.2767509463486259,0.21990394374231523,0.018680132113290848,0.4995369752937881,0.14973764063501202,0.07698123059534276,0.20164059188134714,0.404101107191447,0.21698428767319386,0.13963331452171435,0.2852825276349278,0.1398381862350195,0.07908976007440323,0.41718733949191217,0.02759695593955971,0.21551926764712553,0.4900809649269903
NH,0.45678079930645443,0.0911427559159805,0.10764475923196014,2.1216792321829887,1.0874669342141519,0.3130803237369924,1.0363848535221412,0.5384066202326361,0.6856160129414374,0.8420681896850734,0.4382184947538119,0.5984285933258425,0.21465135672704239,0.17032882878735864,0.9035187078929189,0.4053176363604969,0.1574758407349153,0.3882865506999481,0.5272943106520399,0.3351421689671017,0.24864214801010712,0.5199200877812281,0.4869330396206922,0.18241447982480777,0.5953027092962903,0.026231010608057024,0.5089045763421075,0.8198141147089768
PH,0.45875403770765877,0.11256704972514531,0.027173320290866186,1.67302753295606,0.5781150648952046,0.30278199754094803,0.6514741418983949,0.13706401466108212,0.272758841944473,0.39716171115433996,0.504283618902389,0.6429949289040519,0.3331212217099505,0.13838062392334172,1.0384966196095344,0.5126545701811406,0.10844890341835335,0.14383594186360957,0.40682653593514523,0.35570104779477857,0.1480487676126575,0.3943463924411887,0.4274224463437548,0.11953138391361214,0.3903905206927417,0.07293578974097695,0.26671832029835646,0.7730365713051722
LiH,2.342327822914632,1.0462347537718293,0.06015072734389834,6.986207397902162,3.758620641486506,2.790968121201335,3.06035368693842,2.881136189302044,2.9155840949673566,3.1126991890102103,2.143610582589007,2.7068530021951673,2.4320639574923457,2.7793487115897935,2.4801935135197857,2.7888425838919826,2.563446564458553,2.757931029809238,2.519230007871052,2.425190961486792,2.6287826227831834,2.1000355164164675,2.438814982685217,2.5299012808105448,2.4207971721802295,2.3561639793702382,2.445480306066074,2.4706855883416226
